Frequency	Power
137.534311	46.661272
137.734506	35.827232
137.934702	13.978206
138.134897	6.770312
138.335093	30.267757
138.535288	41.731707
138.735484	53.292322
138.935679	26.689984
139.135875	10.347584
139.336070	39.011648
139.536266	50.552240
139.736461	41.120846
139.936657	15.569781
140.136852	29.606112
140.337048	24.652735
140.537243	10.957729
140.737439	31.790626
140.937634	13.909044
141.137830	25.473831
141.338025	22.027101
141.538221	67.742868
141.738416	10.307454
141.938612	32.670400
142.138807	42.242427
142.339003	38.342717
142.539198	30.520015
142.739394	24.155020
142.939589	17.154203
143.139785	34.156741
143.339980	19.078863
143.540176	10.613905
143.740371	26.018535
143.940567	14.449197
144.140762	25.180294
144.340958	26.405388
144.541153	29.280320
144.741349	43.811710
144.941544	20.168775
145.141740	26.421663
145.341935	8.575746
145.542131	43.281815
145.742326	46.550991
145.942522	1.706199
146.142717	40.821932
146.342913	41.534553
146.543109	25.236167
146.743304	37.040933
146.943500	60.213334
147.143695	4.099817
147.343891	27.515120
147.544086	36.893666
147.744282	42.973565
147.944477	35.259639
148.144673	18.425564
148.344868	4.248098
148.545064	8.143218
148.745259	49.548504
148.945455	16.753513
149.145650	23.693331
149.345846	9.490133
149.546041	45.296977
149.746237	26.897474
149.946432	28.475601
150.146628	43.454557
150.346823	10.465173
150.547019	20.222263
150.747214	16.432443
150.947410	52.200255
151.147605	11.788602
151.347801	15.837066
151.547996	80.082033
151.748192	11.058873
151.948387	21.463224
152.148583	45.371123
152.348778	10.321855
152.548974	48.661838
152.749169	46.954176
152.949365	4.985228
153.149560	41.661586
153.349756	22.032687
153.549951	28.459099
153.750147	46.853317
153.950342	5.231186
154.150538	11.598229
154.350733	3.438808
154.550929	24.929902
154.751124	33.061374
154.951320	48.792843
155.151515	15.749605
155.351711	58.207516
155.551906	44.917183
155.752102	43.739012
155.952297	8.140540
156.152493	31.720096
156.352688	7.954439
156.552884	18.319084
156.753079	52.236051
156.953275	68.285829
157.153470	27.869599
157.353666	47.062701
157.553861	19.399497
157.754057	56.446289
157.954252	30.278663
158.154448	6.869852
158.354643	24.416963
158.554839	62.686812
158.755034	44.364505
158.955230	10.211029
159.155425	57.847728
159.355621	21.004286
159.555816	3.350727
159.756012	14.834208
159.956207	60.543250
160.156403	25.439757
160.356598	30.004613
160.556794	49.984601
160.756989	33.807478
160.957185	31.563848
161.157380	37.201740
161.357576	50.863593
161.557771	5.974463
161.757967	33.762482
161.958162	34.053469
162.158358	29.148067
162.358553	8.277264
162.558749	53.939120
162.758944	42.902436
162.959140	72.762739
163.159335	41.804116
163.359531	75.308284
163.559726	31.397248
163.759922	42.285056
163.960117	29.902342
164.160313	32.008405
164.360508	27.735612
164.560704	53.572165
164.760899	35.964713
164.961095	12.166303
165.161290	40.912558
165.361486	41.308253
165.561681	29.190935
165.761877	29.975381
165.962072	33.967988
166.162268	9.223727
166.362463	7.679126
166.562659	50.440849
166.762854	5.515485
166.963050	44.038672
167.163245	29.369394
167.363441	15.413302
167.563636	25.883099
167.763832	28.284553
167.964027	38.523789
168.164223	29.838365
168.364418	16.333698
168.564614	10.653422
168.764809	41.357817
168.965005	22.229999
169.165200	41.386160
169.365396	13.674642
169.565591	53.179901
169.765787	31.414239
169.965982	52.750969
170.166178	20.857921
170.366373	28.358746
170.566569	20.724643
170.766764	60.316801
170.966960	22.109036
171.167155	24.620427
171.367351	48.918218
171.567546	58.497252
171.767742	57.588821
171.967937	51.551226
172.168133	16.471514
172.368328	80.988277
172.568524	61.247472
172.768719	20.458265
172.968915	39.905520
173.169110	14.001494
173.369306	15.909215
173.569501	12.594226
173.769697	62.102548
173.969892	12.986971
174.170088	77.647267
174.370283	25.002545
174.570479	43.429894
174.770674	96.398944
174.970870	501.872662
175.171065	47.042992
175.371261	38.343048
175.571457	54.391683
175.771652	40.110443
175.971848	58.436912
176.172043	31.272135
176.372239	41.794374
176.572434	22.661518
176.772630	25.236978
176.972825	27.296071
177.173021	25.312900
177.373216	16.054029
177.573412	30.051217
177.773607	26.059738
177.973803	26.239151
178.173998	27.347482
178.374194	38.598458
178.574389	17.530169
178.774585	43.276374
178.974780	31.603640
179.174976	19.970979
179.375171	99.233137
179.575367	16.159155
179.775562	15.518143
179.975758	40.094246
180.175953	32.643164
180.376149	44.273388
180.576344	17.447780
180.776540	58.650170
180.976735	28.487034
181.176931	31.842146
181.377126	25.350437
181.577322	10.566730
181.777517	40.107217
181.977713	33.469979
182.177908	20.738154
182.378104	71.217721
182.578299	9.441469
182.778495	58.665702
182.978690	18.682912
183.178886	29.928394
183.379081	34.160152
183.579277	20.255149
183.779472	36.266516
183.979668	31.668691
184.179863	55.398508
184.380059	12.407087
184.580254	21.721805
184.780450	31.505198
184.980645	36.938817
185.180841	15.473635
185.381036	24.713893
185.581232	19.248976
185.781427	29.507452
185.981623	69.155850
186.181818	6.959796
186.382014	26.592717
186.582209	20.616373
186.782405	31.139326
186.982600	27.322209
187.182796	37.392877
187.382991	23.988757
187.583187	6.889347
187.783382	25.117929
187.983578	31.669176
188.183773	18.151744
188.383969	46.894373
188.584164	45.560646
188.784360	39.307371
188.984555	86.501046
189.184751	55.473585
189.384946	49.907963
189.585142	110.774396
189.785337	118.817484
189.985533	1497.296214
190.185728	136.006354
190.385924	43.688947
190.586119	5.326113
190.786315	44.973120
190.986510	103.181654
191.186706	22.065134
191.386901	63.516573
191.587097	40.125835
191.787292	21.446144
191.987488	20.017670
192.187683	23.513693
192.387879	34.932623
192.588074	40.930952
192.788270	43.727379
192.988465	73.305470
193.188661	31.366472
193.388856	6.756966
193.589052	22.488111
193.789247	33.701294
193.989443	39.220122
194.189638	21.965515
194.389834	47.995715
194.590029	51.832714
194.790225	13.507937
194.990420	22.961218
195.190616	90.031645
195.390811	49.694869
195.591007	45.379919
195.791202	55.321265
195.991398	19.887382
196.191593	45.951015
196.391789	11.719220
196.591984	38.841218
196.792180	26.514953
196.992375	30.792982
197.192571	54.316619
197.392766	54.309996
197.592962	33.051887
197.793157	43.373509
197.993353	550.633201
198.193548	48.528244
198.393744	7.603673
198.593939	32.274453
198.794135	28.436102
198.994330	52.222871
199.194526	28.432388
199.394721	33.988677
199.594917	34.063368
199.795112	10.589566
199.995308	69.269072
200.195503	71.032103
200.395699	62.823247
200.595894	5.643187
200.796090	28.878523
200.996285	15.511343
201.196481	12.384973
201.396676	41.549448
201.596872	24.421834
201.797067	44.841483
201.997263	17.717257
202.197458	6.172335
202.397654	39.824314
202.597849	36.520177
202.798045	53.965733
202.998240	16.335198
203.198436	8.545683
203.398631	19.783113
203.598827	27.409884
203.799022	52.067249
203.999218	15.064143
204.199413	52.206019
204.399609	17.097018
204.599804	22.694459
204.800000	43.445546
